pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
4185,0.64,#a9ced1,0.12,#1b2621,0.07,#6d5845,0.06,#887563,0.05,#564233,0.04,#6f675b,0.01,#a69b8a,0.01,#2d5556
4186,0.65,#a9ced1,0.11,#1b2721,0.08,#6e5946,0.06,#887563,0.05,#574233,0.04,#6e685c,0.01,#a69b8a,0.01,#2e5556
4187,0.65,#a9ced1,0.1,#1d2821,0.08,#6f5946,0.06,#897664,0.06,#574233,0.04,#6f685c,0.01,#a69b8a,0.01,#7c624d
4188,0.65,#a9cdd1,0.09,#6e5845,0.08,#1e271f,0.06,#887563,0.06,#564132,0.05,#6f675a,0.01,#a49988,0.01,#2d5657
4189,0.45,#a8cacc,0.37,#17232a,0.06,#052d5d,0.05,#606c66,0.03,#1c596b,0.02,#474539,0.02,#545547,0.0,#858679
4190,0.49,#aacbcd,0.38,#172129,0.04,#052558,0.04,#5f6962,0.03,#454338,0.01,#848175,0.01,#565547,0.01,#1e5463
4191,0.56,#aacacc,0.33,#1b2524,0.04,#5f675f,0.04,#454439,0.01,#545447,0.01,#848276,0.01,#051c51,0.0,#2f5659
4192,0.63,#aacacc,0.26,#202826,0.05,#646a62,0.02,#4a473c,0.01,#585548,0.01,#031651,0.01,#8d8b7d,0.0,#3b5655
4193,0.64,#aacbcc,0.26,#1e272b,0.05,#666b63,0.02,#4d493d,0.01,#595649,0.01,#021852,0.01,#3d5a5a,0.0,#908f80
4194,0.64,#a5c9cd,0.09,#6f5946,0.08,#222a22,0.07,#746859,0.06,#594333,0.05,#8b7866,0.01,#a39887,0.0,#78969d
4195,0.59,#a5c9ce,0.14,#1c2923,0.09,#6d5845,0.07,#726859,0.05,#584132,0.04,#8b7a69,0.01,#9f9787,0.01,#325759
4196,0.61,#a5c9ce,0.13,#1a2520,0.09,#726657,0.08,#6c5643,0.05,#584032,0.03,#8c7a69,0.01,#9f9585,0.01,#2e5355
4197,0.59,#a4c8cd,0.15,#18231e,0.09,#6e5743,0.08,#726657,0.06,#594031,0.02,#8c7b6a,0.01,#9f9585,0.0,#79979e
4198,0.61,#a3c8ce,0.11,#1b2823,0.09,#6b5442,0.08,#84705f,0.05,#574032,0.04,#6c665b,0.01,#7c5e49,0.01,#9a9384
4199,0.61,#a1c6cc,0.11,#1b2923,0.09,#816e5c,0.09,#685441,0.05,#574031,0.03,#7a5e48,0.03,#676960,0.0,#979384
4200,0.63,#313735,0.21,#4b554f,0.08,#3e4a48,0.06,#3c4544,0.01,#778071,0.01,#44443f,0.0,#454941,0.0,#444545
4201,0.58,#313634,0.21,#4b544f,0.1,#3e4947,0.09,#3b4342,0.01,#737c6e,0.01,#43423d,0.0,#444443,0.0,#697063
4202,0.55,#303533,0.23,#4a534d,0.11,#3d4845,0.09,#3a4140,0.01,#70786b,0.0,#424241,0.0,#42403b,0.0,#3d453d
4203,0.5,#2f3331,0.29,#464f4a,0.15,#3a4341,0.04,#373d3e,0.01,#6c7468,0.01,#39403a,0.0,#40423b,0.0,#5e675b
4204,0.51,#2f3432,0.23,#48514c,0.18,#3b4542,0.06,#373e3e,0.01,#6c7468,0.01,#3b413a,0.0,#5d6a62,0.0,#60685b
4205,0.53,#a2c7cc,0.19,#1a231d,0.1,#6f5643,0.08,#736455,0.07,#584031,0.03,#887564,0.01,#a19786,0.0,#79979e
4206,0.46,#a2c6cc,0.29,#1f241c,0.08,#675543,0.07,#503f30,0.06,#857262,0.03,#6c6659,0.01,#9e9485,0.0,#34595b
4207,0.64,#abcacb,0.28,#192323,0.04,#696a60,0.02,#4b4439,0.01,#585246,0.01,#908175,0.0,#395656,0.0,#1f434f
4208,0.66,#abcacb,0.23,#111e27,0.04,#666a61,0.03,#4e443a,0.02,#595448,0.01,#8d7e72,0.0,#072451,0.0,#2e595c
4209,0.65,#abcbcb,0.23,#121f28,0.04,#4d453a,0.03,#68675e,0.03,#585246,0.02,#072a52,0.01,#908074,0.0,#23565e
4210,0.62,#accbcb,0.27,#132026,0.04,#50463a,0.03,#6a6c63,0.02,#5c5447,0.01,#092d53,0.01,#948577,0.0,#2b5a63
4211,0.62,#accbcb,0.27,#131f26,0.04,#50463a,0.03,#68685f,0.02,#5a5345,0.01,#082951,0.0,#938374,0.0,#29575e
4212,0.62,#accccb,0.27,#131f27,0.04,#51463b,0.03,#6a6a61,0.02,#5c5447,0.01,#082a54,0.01,#938577,0.0,#2d5b62
4213,0.63,#accccb,0.27,#131f27,0.04,#51463a,0.03,#6b6b63,0.02,#5b5446,0.01,#082a53,0.0,#958678,0.0,#2b5a62
4214,0.62,#aecbd0,0.17,#20241c,0.1,#553f32,0.05,#675242,0.03,#736357,0.02,#907c6c,0.01,#a49686,0.0,#385457
4215,0.62,#aecbd0,0.16,#1e231b,0.11,#553e32,0.06,#675242,0.02,#73655a,0.02,#8f7b6b,0.01,#a49787,0.0,#334c47
4216,0.62,#aecbd0,0.17,#1f241c,0.11,#553f32,0.05,#675242,0.02,#726458,0.02,#907c6c,0.01,#a49787,0.0,#345152
4217,0.61,#aecbd0,0.17,#1f221a,0.11,#543e30,0.05,#675241,0.02,#716357,0.02,#8e7a6a,0.01,#a39686,0.0,#375455
4218,0.62,#aecbd0,0.17,#1f231b,0.11,#553f31,0.05,#675242,0.02,#736458,0.02,#907c6c,0.01,#a49888,0.0,#365254
4219,0.62,#aecbd0,0.16,#1f231b,0.11,#543e30,0.05,#675141,0.03,#716255,0.02,#8e7b6b,0.01,#a39686,0.0,#365353
4220,0.62,#aecbd0,0.16,#1f231b,0.1,#553e31,0.05,#665141,0.03,#726255,0.02,#8f7b6b,0.01,#a49687,0.0,#365253
4221,0.6,#9abac5,0.25,#0c1416,0.03,#a38f7c,0.03,#47382d,0.03,#69635c,0.03,#5d4b3d,0.02,#8b7462,0.01,#32515f
4222,0.59,#9abac5,0.24,#091315,0.04,#5c4b3d,0.04,#48392e,0.03,#a3907c,0.03,#67645e,0.03,#8c7463,0.01,#70919e
4223,0.6,#9abac5,0.25,#0b1315,0.03,#5b4a3d,0.03,#a28f7b,0.03,#68635c,0.02,#49382e,0.02,#8c7463,0.01,#2f505d
4224,0.59,#9abac6,0.26,#0c1416,0.03,#a3907c,0.03,#5e4c3d,0.03,#66645f,0.02,#8b7462,0.02,#49372d,0.01,#70909e
4225,0.59,#9abac6,0.26,#0c1416,0.03,#a5927e,0.03,#5e4b3e,0.03,#666561,0.03,#8d7563,0.02,#4a372d,0.01,#7292a0
4226,0.6,#9abac5,0.25,#0c1416,0.03,#68625b,0.03,#a4907c,0.03,#5d4b3d,0.03,#49382d,0.03,#8c7463,0.01,#32515e
4227,0.59,#9abac6,0.25,#0b1416,0.03,#a4917d,0.03,#5d4c3d,0.03,#67645e,0.03,#48382d,0.02,#8c7462,0.01,#6f909e
4228,0.58,#9abac6,0.24,#0a1316,0.04,#5c4b3d,0.04,#4b3a30,0.04,#a4917d,0.03,#686560,0.02,#8c7463,0.01,#7092a0
4229,0.59,#9abac6,0.24,#0c1517,0.04,#5d4c3d,0.04,#49392f,0.03,#a3907d,0.03,#68635d,0.03,#8c7463,0.01,#70919f
4230,0.59,#9abac5,0.24,#0a1315,0.04,#48392e,0.03,#a3907d,0.03,#5c4b3d,0.03,#67635d,0.03,#8c7462,0.01,#71919f
4231,0.58,#9abac5,0.24,#091315,0.04,#5a4a3c,0.04,#49392e,0.04,#a3907c,0.03,#68635d,0.02,#8c7463,0.01,#7192a0
4232,0.59,#9abac6,0.24,#091315,0.04,#48392e,0.04,#a3907d,0.04,#5b4b3d,0.03,#66635f,0.02,#8b7362,0.01,#70909e
4233,0.64,#b0cdd0,0.16,#1f241b,0.09,#543e31,0.05,#675242,0.03,#726357,0.02,#8e7b6a,0.01,#a49786,0.0,#375557
4234,0.64,#b0cdd0,0.16,#20241c,0.09,#553f32,0.05,#685243,0.03,#736459,0.02,#907d6c,0.01,#a59787,0.0,#385759
4235,0.65,#b0cdd0,0.16,#1f241c,0.09,#543e32,0.05,#675243,0.03,#726459,0.02,#8f7c6b,0.01,#a59887,0.0,#395659
4236,0.64,#b0cdd0,0.15,#1f241c,0.09,#543e31,0.05,#675343,0.02,#72655a,0.02,#8e7c6c,0.01,#a59989,0.0,#3a5659
4237,0.65,#b0cdd0,0.16,#20241c,0.1,#543f31,0.05,#675243,0.03,#736559,0.02,#917e6e,0.01,#a59888,0.0,#395558
4238,0.65,#b0cdd0,0.16,#20241c,0.1,#553f32,0.04,#685344,0.03,#736559,0.02,#917f6e,0.01,#a69888,0.0,#395557
4239,0.63,#b0cdd0,0.17,#1e231b,0.11,#533d30,0.04,#685343,0.03,#726357,0.02,#8f7c6d,0.01,#a69888,0.0,#385457
4240,0.64,#b0cdd0,0.16,#20241c,0.1,#543f32,0.04,#675243,0.03,#726358,0.02,#907e6d,0.01,#a59787,0.0,#375557
4241,0.65,#b0cdd0,0.15,#20241c,0.1,#543e32,0.04,#665142,0.03,#726256,0.02,#907e6d,0.01,#a49787,0.0,#375456
4242,0.61,#9abbc6,0.23,#0d1719,0.04,#a6937f,0.03,#666660,0.03,#5d4d3f,0.02,#8c7564,0.02,#4b392f,0.01,#7092a0
4243,0.6,#9abbc6,0.23,#0c1619,0.04,#a5937f,0.03,#5d4d3f,0.03,#656661,0.03,#49392f,0.02,#8c7565,0.01,#6f919f
4244,0.61,#9abbc6,0.22,#0d1719,0.04,#a5927e,0.03,#65645e,0.03,#49392f,0.03,#5d4c3e,0.03,#8c7564,0.01,#6f919f
4245,0.61,#9abbc6,0.23,#0c1619,0.04,#a4927d,0.03,#65635d,0.03,#49382f,0.03,#8c7564,0.03,#5c4c3e,0.01,#70919f
4246,0.61,#9abbc6,0.23,#0d1619,0.04,#a4927d,0.03,#5d4c3e,0.03,#646460,0.03,#49372e,0.03,#8b7463,0.01,#70919f
4247,0.97,#180d09,0.02,#5e3d2f,0.01,#776e68,0.0,#805f44,0.0,#d5e3cb,0.0,#5c5251,0.0,#b09670,0.0,#8c9ba3
4248,0.97,#1a0f0a,0.02,#613e2e,0.01,#776e68,0.0,#825c41,0.0,#d8dfc1,0.0,#5c504f,0.0,#b09569,0.0,#d6c788
4249,0.96,#1b100b,0.02,#623a28,0.01,#7a706c,0.0,#d2d6be,0.0,#825c3d,0.0,#5b5152,0.0,#b07234,0.0,#d5c384
4250,0.97,#1d110d,0.01,#643c2c,0.01,#756b67,0.0,#5e514c,0.0,#d7d7bc,0.0,#885f3d,0.0,#959f9d,0.0,#b79876
4251,0.97,#1e120d,0.02,#643b2b,0.01,#776e69,0.0,#dddebd,0.0,#886041,0.0,#5f524e,0.0,#4e4d53,0.0,#bf713c
4252,0.97,#1d120d,0.02,#633f30,0.01,#7a726d,0.0,#755b48,0.0,#dae3cf,0.0,#b69a76,0.0,#4b4d58,0.0,#bf763c
4253,0.98,#1b110d,0.01,#5f4033,0.01,#726b68,0.0,#d0dfd0,0.0,#745c45,0.0,#4b4e56,0.0,#d1be91,0.0,#a0b3b5
4254,0.92,#1c100f,0.03,#78776f,0.03,#654238,0.01,#cfdec3,0.01,#795c45,0.0,#98c3bf,0.0,#5e4f54,0.0,#474c57
4255,0.92,#1d1010,0.03,#78766f,0.03,#614038,0.01,#ccdcc6,0.01,#795c46,0.0,#99bbbb,0.0,#5e4f54,0.0,#8a9ca9
4256,0.93,#1a1010,0.03,#76736c,0.02,#634237,0.01,#9ac2be,0.0,#c0d2bf,0.0,#474b52,0.0,#5f4f4f,0.0,#889ba3
4257,0.93,#1a100f,0.03,#75756e,0.02,#5f453b,0.01,#99c4c0,0.0,#c5dac5,0.0,#735f45,0.0,#424c57,0.0,#4c6069
4258,0.93,#1e1110,0.03,#777772,0.02,#614035,0.01,#99c5c1,0.01,#755e47,0.01,#c4dac7,0.0,#434b58,0.0,#87a0ab
4259,0.93,#1e1110,0.03,#757570,0.02,#5e4035,0.01,#bbd4c3,0.01,#97c3c1,0.0,#454b56,0.0,#715e46,0.0,#4b5b65
4260,0.95,#201210,0.02,#767672,0.01,#603c31,0.01,#c4d6c4,0.0,#4a4c58,0.0,#746044,0.0,#9db6b8,0.0,#5c5155
4261,0.69,#2b1b0d,0.08,#b8987b,0.06,#dfd2b8,0.06,#624026,0.05,#95785f,0.04,#ceb492,0.02,#806544,0.0,#a7774e
4262,0.41,#eef9e3,0.18,#eb8877,0.16,#cb5748,0.14,#e16f5d,0.06,#b2362e,0.04,#d76b58,0.01,#de6455,0.01,#f3b9a3
4263,0.28,#eae4ca,0.26,#bf6b67,0.22,#e09d91,0.1,#ab5556,0.09,#d0837d,0.03,#c97877,0.01,#ce7e72,0.01,#ecc1a6
4264,0.35,#e4a191,0.33,#eae5ca,0.15,#c8726b,0.06,#b05556,0.06,#d5867d,0.02,#ce7d78,0.02,#eec2a5,0.01,#d58373
4265,0.49,#923433,0.21,#d78373,0.19,#66191d,0.06,#ecd8bf,0.02,#ebae93,0.01,#b15647,0.01,#c35e4d,0.01,#b65754
4266,0.93,#1f140f,0.04,#5c3f25,0.01,#7d653e,0.01,#948160,0.0,#ab9973,0.0,#cbcabc,0.0,#baab91,0.0,#a6834d
4267,0.91,#1b110c,0.06,#53371f,0.02,#6e532f,0.0,#997f50,0.0,#a99667,0.0,#877048,0.0,#94713c,0.0,#c4b7a7
4268,0.92,#1a100c,0.05,#563920,0.02,#735733,0.0,#8c754d,0.0,#9f8556,0.0,#ac9969,0.0,#997541,0.0,#ded6be
4269,0.93,#0b0704,0.03,#331307,0.01,#4a1e0e,0.01,#431b0a,0.01,#5a2510,0.01,#1b150d,0.01,#221b0e,0.0,#201a0a
4270,0.97,#0b0704,0.01,#341307,0.01,#5d2811,0.01,#471c0a,0.0,#4b210f,0.0,#703a1c,0.0,#6a3317,0.0,#1f150d
4271,0.93,#0e0905,0.02,#311207,0.01,#451d0d,0.01,#1a140b,0.01,#592510,0.01,#211a0d,0.01,#3f1a09,0.0,#6c361a
4272,0.96,#211708,0.03,#5d2f14,0.0,#eaf3d0,0.0,#beb782,0.0,#7b6a3d,0.0,#97895d,0.0,#b19b6c,,
4273,0.96,#231808,0.03,#5d3115,0.0,#ebf6d9,0.0,#83663a,0.0,#af996f,0.0,#cdc191,0.0,#97835b,0.0,#ad884d
4274,0.97,#211608,0.02,#5b3215,0.01,#ebf7da,0.0,#7a6235,0.0,#d2c189,0.0,#b59a69,0.0,#907e5c,0.0,#b27935
4275,0.96,#1a110b,0.03,#5f4226,0.01,#7f643a,0.0,#9a865a,0.0,#ac996c,0.0,#ded9b9,,,,
4276,0.95,#1a110b,0.03,#5c3f24,0.01,#7b5f37,0.0,#947f53,0.0,#a59263,0.0,#ddd8ba,0.0,#b0a782,,
4277,0.95,#1b110c,0.03,#5d4025,0.01,#7b6038,0.0,#988356,0.0,#a89566,0.0,#d8d3b5,,,,
4278,0.96,#1b110c,0.03,#5f4226,0.01,#80643b,0.0,#9b885b,0.0,#edeac8,0.0,#ab986f,0.0,#c4b298,,
4279,0.94,#0a0705,0.03,#401a0c,0.01,#071718,0.01,#512a11,0.01,#713d1a,0.01,#563117,0.0,#865224,0.0,#8d5d2e
4280,0.92,#0a0705,0.03,#3a170b,0.02,#071516,0.01,#44250f,0.01,#512d16,0.0,#2f220f,0.0,#6b3519,0.0,#79451e
4281,0.93,#0a0806,0.03,#3e180b,0.02,#071617,0.01,#4b2710,0.01,#5a3017,0.0,#31230f,0.0,#71391b,0.0,#032c2e
4282,0.91,#0e0a07,0.05,#3e1b0c,0.01,#472c13,0.01,#081a1b,0.01,#553a1b,0.0,#723d1d,0.0,#775627,0.0,#806937
4283,0.93,#150f0a,0.03,#522c14,0.02,#644820,0.01,#7a6632,0.0,#042c2f,0.0,#915f30,0.0,#8d5726,0.0,#8a7943
4284,0.8,#120e0a,0.1,#3c1f0e,0.03,#462e14,0.02,#553d1c,0.01,#6e4821,0.01,#745c2a,0.01,#0a201f,0.01,#7f6d38
4285,0.96,#1d1208,0.04,#693c19,0.0,#80602f,0.0,#ebf2d7,0.0,#c7b893,0.0,#ae9468,0.0,#8b805c,0.0,#b4852f
4286,0.96,#1d1208,0.03,#693c1a,0.0,#816130,0.0,#ebf1d7,0.0,#b29b70,0.0,#c6b991,0.0,#91835e,0.0,#b5862f
4287,0.95,#1c1207,0.04,#693a19,0.0,#805f2f,0.0,#ecf3db,0.0,#c5bb90,0.0,#b59d74,0.0,#958262,0.0,#b2832a
4288,0.96,#1c1107,0.04,#673b19,0.0,#816233,0.0,#eaefd5,0.0,#95875f,0.0,#cabb93,0.0,#b59d71,,
4289,0.96,#1c1208,0.03,#693c1a,0.0,#815f31,0.0,#edf4dd,0.0,#978260,0.0,#b49b6f,0.0,#caba94,,
4290,0.86,#120f0a,0.06,#43200e,0.04,#513317,0.02,#83622e,0.01,#5f4621,0.01,#7e4a21,0.01,#763f19,0.0,#162521
