pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
11870,0.77,#1c1b14,0.15,#7d7361,0.05,#59523e,0.02,#bcaf9c,0.01,#524936,0.0,#a69a87,0.0,#4f4c3a,0.0,#a29683
11871,0.73,#1a1913,0.19,#7c7361,0.04,#59523e,0.03,#bbae9b,0.01,#524937,0.0,#a69a86,0.0,#a39682,0.0,#4f4c3b
11872,0.74,#191812,0.17,#7b7260,0.04,#59513e,0.03,#bbae9b,0.01,#524938,0.0,#a69986,0.0,#a39682,0.0,#4f4c3a
11873,0.72,#191812,0.19,#796f5e,0.05,#59513e,0.03,#bbae9b,0.01,#524939,0.0,#a69986,0.0,#a39582,0.0,#4f4c3b
11874,0.72,#191812,0.19,#79705e,0.05,#5a523f,0.02,#bdb09d,0.01,#524a39,0.0,#a89b88,0.0,#a39683,0.0,#4f4d3a
11875,0.6,#10120d,0.2,#3e3d31,0.09,#2b2d23,0.08,#353327,0.03,#715945,0.01,#644e3c,0.0,#2a3130,0.0,#7b6e64
11876,0.61,#11130e,0.19,#3f3e32,0.09,#363328,0.07,#2c2f24,0.02,#735b47,0.01,#654f3d,0.0,#332721,0.0,#2b3132
11877,0.58,#10130e,0.21,#3e3d32,0.08,#2c2e24,0.07,#353327,0.03,#715a46,0.01,#644e3c,0.01,#545345,0.0,#2a302f
11878,0.84,#1c1e17,0.08,#4d4739,0.03,#433a2f,0.03,#6e5846,0.01,#3c4238,0.0,#806651,0.0,#343d43,0.0,#babdbf
11879,0.54,#10130e,0.28,#3e3d31,0.07,#2b2c22,0.04,#525346,0.03,#6e5743,0.02,#2d3129,0.01,#352f23,0.01,#7e6551
11880,0.54,#11130f,0.32,#3f3e32,0.04,#2a2c21,0.03,#2e3027,0.02,#6c5642,0.01,#7b634f,0.01,#505145,0.01,#644e3c
11881,0.53,#11140f,0.33,#3d3d32,0.05,#2b2c22,0.03,#2d3128,0.03,#6d5643,0.01,#7c6450,0.01,#634e3c,0.01,#362e23
11882,0.52,#10130f,0.34,#3d3d31,0.05,#2a2b21,0.03,#2c3027,0.03,#6b5542,0.01,#7a624e,0.01,#342d22,0.0,#624c3a
11883,0.51,#10130e,0.33,#3d3d32,0.07,#292b21,0.04,#6c5642,0.03,#322f24,0.01,#2b3029,0.01,#4a4f46,0.01,#7e6652
11884,0.52,#11130f,0.34,#3d3d32,0.05,#2a2c21,0.03,#2d3027,0.03,#6b5542,0.01,#7b624e,0.01,#4c5045,0.01,#352d22
11885,0.51,#10130e,0.33,#3d3d32,0.06,#282a20,0.04,#2d3027,0.03,#695340,0.02,#79604c,0.01,#4b4f44,0.01,#4c5249
11886,0.69,#221d1f,0.14,#7e6d70,0.07,#f2e6ea,0.04,#c09286,0.03,#614545,0.01,#d9b099,0.01,#60505b,0.01,#725a4f
11887,0.7,#242022,0.15,#7b7070,0.06,#5f4948,0.05,#eae4e2,0.02,#bb8c7f,0.01,#d5b19e,0.01,#795850,0.01,#5c5257
11888,0.81,#1e1c1e,0.11,#787070,0.03,#6e4941,0.02,#ece8e3,0.01,#c19d8c,0.01,#d5ae9a,0.01,#70594f,0.0,#4f4f58
11889,0.8,#26262b,0.12,#726c6d,0.02,#f0ece7,0.02,#c29c8d,0.02,#694c48,0.01,#4b4e5a,0.01,#cfaf9c,0.01,#675851
11890,0.87,#1b1c20,0.08,#6d6768,0.02,#bd9789,0.01,#4d4f57,0.01,#e4e1dd,0.01,#5a4f4d,0.0,#595356,0.0,#5d5652
11891,0.87,#1c1d23,0.06,#766766,0.03,#3f414c,0.02,#b08d82,0.01,#574a4c,0.0,#c3ac9e,0.0,#544643,0.0,#4e4f54
11892,0.88,#1f2127,0.08,#7e706c,0.01,#5c4f4d,0.01,#454c58,0.01,#ae8a7c,0.0,#e7e8e3,0.0,#6d5a53,0.0,#5b5458
11893,0.93,#242730,0.05,#767273,0.01,#5a5455,0.0,#665c59,0.0,#edeae2,0.0,#4d525f,0.0,#5a575f,0.0,#b3a095
11894,0.69,#1a1f26,0.17,#42444a,0.07,#282e39,0.03,#35262c,0.02,#767376,0.02,#2e363f,0.0,#645c5a,0.0,#343139
11895,0.79,#232a30,0.14,#4e5155,0.02,#848281,0.02,#413237,0.01,#3b434b,0.01,#394043,0.0,#434342,0.0,#78726d
11896,0.77,#2b353b,0.15,#5c6165,0.04,#4e4247,0.02,#445059,0.01,#3f4a53,0.0,#999b9d,0.0,#939089,0.0,#4c4f4f
11897,0.84,#2c333a,0.09,#646668,0.03,#4c5662,0.03,#454f5a,0.01,#524549,0.0,#5a5852,0.0,#a88d72,0.0,#525258
