pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
2896,0.8,#0f0b0a,0.14,#640e10,0.03,#bf4846,0.02,#a61d21,0.01,#82433c,0.0,#b72f31,0.0,#b4786a,0.0,#413834
2897,0.8,#0f0c0b,0.13,#620f10,0.03,#bd4946,0.02,#a51d20,0.01,#7e423a,0.0,#b62f31,0.0,#b17669,0.0,#69352b
2898,0.8,#0e0c0a,0.13,#600f10,0.03,#a41d21,0.03,#bc4a47,0.01,#80433b,0.0,#b1796c,0.0,#b63134,0.0,#6b362c
2899,0.8,#0e0b0a,0.13,#620e10,0.03,#bb4a47,0.02,#a51d20,0.01,#80423b,0.0,#b63032,0.0,#b2786b,0.0,#403834
2900,0.8,#0e0b0b,0.13,#610e10,0.03,#bc4545,0.02,#a21a20,0.01,#7d403b,0.0,#b17267,0.0,#b22c30,0.0,#3e3533
2901,0.8,#0e0b0a,0.13,#620e10,0.03,#bd4948,0.02,#a51c20,0.01,#80423c,0.0,#b72f33,0.0,#b2786c,0.0,#433935
2902,0.8,#0f0b0a,0.13,#620e11,0.03,#bd4948,0.02,#a51c21,0.01,#7f423c,0.0,#b62f33,0.0,#b2786c,0.0,#413734
2903,0.8,#0f0c0b,0.13,#630e10,0.03,#be4a47,0.02,#a61c20,0.01,#80423b,0.0,#b72f32,0.0,#b1776b,0.0,#423835
2904,0.92,#100f0c,0.05,#5e2b22,0.01,#7e5448,0.01,#a0695b,0.01,#714638,0.0,#c49e90,0.0,#b48775,0.0,#7e3e41
2905,0.91,#110f0d,0.06,#5c2921,0.01,#7b5146,0.01,#9d6356,0.01,#6f4336,0.0,#bf9485,0.0,#b0816f,0.0,#924b3a
2906,0.91,#100f0d,0.06,#5c2922,0.01,#7b5146,0.01,#9d6559,0.01,#704437,0.0,#c09788,0.0,#b28272,0.0,#914a39
2907,0.92,#110e0d,0.05,#5e2a22,0.01,#7d5246,0.01,#9f675a,0.01,#714437,0.0,#c19788,0.0,#b28472,0.0,#7e3e3f
2908,0.91,#110f0d,0.05,#5e2a22,0.01,#7e5347,0.01,#a0675a,0.01,#734538,0.0,#c39a8b,0.0,#b58574,0.0,#98513d
2909,0.92,#110f0c,0.05,#5f2c23,0.01,#815649,0.01,#a26b5d,0.01,#73483a,0.0,#b98c77,0.0,#c6a194,0.0,#99503e
2910,0.91,#110f0d,0.05,#5f2a22,0.01,#7f5448,0.01,#a2685b,0.01,#744538,0.0,#c49a8d,0.0,#b68674,0.0,#974d3b
