pic,percentage1,hex1,percentage2,hex2,percentage3,hex3,percentage4,hex4,percentage5,hex5,percentage6,hex6,percentage7,hex7,percentage8,hex8
1294,0.82,#1b2017,0.06,#485557,0.05,#646d6f,0.03,#3c4848,0.02,#7f8b90,0.01,#96a1a0,0.0,#b5bab2,0.0,#5e4235
1295,0.83,#1b2017,0.05,#4a5759,0.05,#656e70,0.05,#3e4949,0.02,#828e91,0.01,#99a7a5,0.0,#bcbeb3,0.0,#5e4336
1296,0.82,#1b2017,0.05,#4a575a,0.05,#656e70,0.05,#3d4949,0.02,#828e92,0.01,#99a7a6,0.0,#babdb4,0.0,#5e4337
1297,0.83,#1b2017,0.05,#4a575a,0.05,#666f71,0.04,#3d4a4a,0.02,#828e92,0.01,#99a7a6,0.0,#babdb3,0.0,#5e4438
1298,0.82,#1b2017,0.06,#465355,0.06,#616a6c,0.03,#3b4747,0.02,#7c888e,0.01,#929e9d,0.0,#afb6af,0.0,#5e4339
1299,0.83,#191d15,0.07,#586467,0.05,#3f4d4e,0.01,#708188,0.01,#364343,0.01,#523a1d,0.01,#849396,0.01,#9faaa6
1300,0.82,#191e15,0.07,#586467,0.06,#3e4c4d,0.01,#708088,0.01,#819196,0.01,#9da8a5,0.01,#51391e,0.01,#354243
1301,0.83,#191e15,0.07,#5a6669,0.05,#3f4d4e,0.01,#849497,0.01,#72838b,0.01,#52391d,0.01,#a0aaa6,0.01,#364344
1302,0.84,#191e15,0.07,#5a676a,0.05,#3f4e4f,0.01,#364445,0.01,#73848b,0.01,#523a1d,0.01,#849497,0.01,#9faaa5
1303,0.83,#191e16,0.08,#5a6669,0.05,#3f4e4e,0.01,#374445,0.01,#73848b,0.01,#523a1d,0.01,#9eaaa5,0.01,#839497
1304,0.76,#1e2219,0.1,#6b706f,0.05,#3e4a4a,0.04,#4b5a5d,0.03,#8a9290,0.01,#9fa8a0,0.0,#b2baae,0.0,#614538
1305,0.74,#1d2118,0.09,#686d6c,0.06,#495659,0.05,#3b4747,0.04,#848c8b,0.02,#9ca49d,0.0,#b0b8ad,0.0,#614235
1306,0.75,#1d2118,0.1,#6a6f6d,0.05,#4a585b,0.05,#3d4949,0.04,#878f8d,0.02,#9da69f,0.0,#b2b9ad,0.0,#5d4336
1307,0.76,#1d2119,0.1,#6b6f6e,0.05,#4a575b,0.04,#3c4849,0.03,#88908f,0.02,#9ea6a0,0.0,#b4baae,0.0,#604337
1308,0.76,#1e2219,0.1,#6c716f,0.05,#3f4b4b,0.04,#4b595c,0.03,#8b9391,0.01,#9fa9a1,0.0,#b3bbaf,0.0,#614738
1309,0.76,#1e2219,0.11,#6d7271,0.04,#4b595c,0.04,#3f4b4c,0.03,#8c9593,0.01,#a0a9a1,0.0,#644738,0.0,#b4baad
1310,0.76,#1e2119,0.1,#6b706e,0.05,#3e4a4a,0.05,#4b595c,0.03,#89918f,0.01,#9fa7a0,0.0,#614638,0.0,#b5bcae
1311,0.74,#1d2118,0.09,#696d6b,0.06,#495759,0.05,#3b4747,0.04,#838c8b,0.02,#9ba49d,0.0,#b3baad,0.0,#604436
1312,0.53,#1e2317,0.25,#525c58,0.13,#889694,0.02,#424439,0.02,#44382c,0.02,#697b7c,0.02,#344745,0.01,#374338
1313,0.69,#1c2014,0.14,#555d5a,0.08,#889594,0.04,#46352a,0.01,#7a6f73,0.01,#354847,0.01,#47443b,0.01,#37433a
1314,0.7,#202216,0.19,#626967,0.04,#4f3e35,0.03,#98a7a3,0.02,#3d5251,0.01,#7b8d8d,0.01,#8e8c8f,0.01,#334749
1315,0.62,#1e2721,0.25,#425555,0.08,#566c6e,0.05,#394b4a,0.0,#7c9393,0.0,#b7c6ba,0.0,#859f9d,0.0,#3b4e46
1316,0.62,#1e2721,0.2,#475c5d,0.15,#3c4f4e,0.02,#647c7d,0.0,#7f9797,0.0,#c4cdc2,0.0,#9ab0a9,,
1317,0.64,#1e2822,0.2,#425757,0.09,#3a4d4c,0.06,#556d6f,0.0,#7d9595,0.0,#b6c9be,0.0,#8da7a3,0.0,#969fa5
1318,0.6,#1d2721,0.26,#445959,0.09,#3a4d4b,0.04,#5d7677,0.01,#7d9595,0.0,#8eaca6,0.0,#c5d5c5,,
1319,0.6,#1d2620,0.27,#425757,0.08,#384b49,0.05,#587172,0.01,#7a9393,0.0,#8caaa6,0.0,#bed0c4,0.0,#394f46
1320,0.57,#1c241e,0.22,#3d5150,0.16,#4d6364,0.04,#364846,0.01,#748d8e,0.0,#7e9998,0.0,#9ab3ae,0.0,#394b43
1321,0.62,#1d2721,0.23,#455a5b,0.12,#3a4d4c,0.03,#5f7779,0.0,#7d9494,0.0,#c2cac2,0.0,#8fa9a7,,
1322,0.65,#1f2923,0.2,#465b5c,0.12,#3c4f4e,0.02,#657d7e,0.0,#809797,0.0,#c3d1c5,0.0,#9cb3ae,,
1323,0.56,#1b241d,0.24,#3e5251,0.13,#4d6465,0.05,#364846,0.01,#758d8e,0.0,#809998,0.0,#9ab6ae,0.0,#3b4b43
1324,0.64,#1f2923,0.22,#455a5b,0.1,#3c4f4d,0.03,#61797a,0.0,#7e9796,0.0,#bed1c2,0.0,#95aea9,,
1325,0.87,#0f120e,0.04,#5d4d49,0.03,#42332c,0.03,#8c847e,0.01,#756462,0.01,#7d706e,0.01,#2a4346,0.0,#24383b
1326,0.86,#0e120d,0.04,#5b4d49,0.04,#41342c,0.03,#8b857f,0.02,#736361,0.01,#7c706e,0.0,#24393b,0.0,#284143
1327,0.85,#0e110d,0.05,#5d4e4a,0.04,#41342d,0.03,#8c8680,0.02,#756562,0.01,#7e7270,0.0,#4c3c3a,0.0,#24393b
1328,0.84,#0f110d,0.05,#5d4e4a,0.04,#42342d,0.03,#8d8780,0.02,#756562,0.01,#7f7370,0.01,#4c3c3a,0.0,#4f4036
1329,0.83,#0e110d,0.06,#5c4d49,0.04,#40332c,0.04,#8c857f,0.02,#746562,0.01,#7d726f,0.0,#4c3e34,0.0,#4a3a39
1330,0.81,#0e100c,0.06,#5c4d49,0.05,#41332c,0.04,#8b847d,0.03,#746662,0.01,#7d7270,0.0,#4e3f36,0.0,#4e3a3b
1331,0.8,#0f110c,0.07,#5d4d4a,0.05,#41332c,0.04,#8a827c,0.02,#746562,0.01,#7b6f6e,0.0,#4c3e35,0.0,#4c3a3b
1332,0.78,#10110d,0.07,#5c4d49,0.06,#41332c,0.04,#8b837d,0.03,#736562,0.01,#7c706e,0.0,#4a3b39,0.0,#4e3f35
1333,0.77,#10110d,0.08,#5c4d49,0.06,#41332c,0.05,#8a837c,0.03,#736562,0.01,#7c716e,0.0,#4d3f35,0.0,#483b39
1334,0.57,#0c120b,0.13,#aac5be,0.11,#5a767f,0.07,#739299,0.06,#87a7a9,0.05,#405960,0.02,#35494e,0.0,#3d5244
1335,0.55,#0b110b,0.13,#acc7bf,0.11,#5c7881,0.07,#89a9ab,0.07,#73929a,0.05,#415b62,0.02,#35494f,0.0,#3b5144
1336,0.59,#0c120b,0.11,#a4c1bb,0.1,#59747d,0.07,#708f97,0.06,#85a5a8,0.05,#3e585f,0.02,#34474d,0.0,#3a5144
1337,0.56,#0c120b,0.13,#abc6bf,0.11,#5b767f,0.07,#86a6a9,0.06,#729199,0.05,#405960,0.02,#35484e,0.0,#3a5246
1338,0.87,#111511,0.04,#5e4b45,0.03,#43332a,0.02,#8c7e75,0.02,#76615b,0.01,#2e4241,0.01,#2a3938,0.0,#7d6d69
1339,0.85,#111511,0.05,#5d4b45,0.03,#8a7e75,0.02,#42322a,0.02,#75625b,0.02,#2d4140,0.0,#293938,0.0,#4e3d33
1340,0.82,#111510,0.06,#5e4c45,0.04,#8b7f74,0.03,#43332a,0.02,#75625a,0.02,#2d413f,0.01,#293936,0.0,#7b6b67
1341,0.79,#11140f,0.07,#5d4c45,0.04,#8b8075,0.04,#423329,0.04,#75625a,0.02,#2d413e,0.01,#2a3a37,0.0,#7d6e69
1342,0.76,#111410,0.08,#5c4b44,0.05,#8a7e74,0.04,#413229,0.04,#746159,0.02,#2c3f3c,0.01,#293936,0.01,#7b6b67
1343,0.74,#121510,0.09,#5b4a44,0.06,#897d74,0.04,#736059,0.04,#413229,0.01,#293c3a,0.01,#273836,0.01,#7a6b67
1344,0.73,#141611,0.09,#5c4a43,0.05,#8b7e74,0.05,#74615a,0.05,#423229,0.01,#4f3d33,0.01,#7d6d68,0.0,#293936
1345,0.7,#151711,0.11,#5d4b44,0.06,#75635b,0.06,#43332a,0.05,#8b7e74,0.01,#503e34,0.01,#7e6f69,0.0,#4a3a38
1346,0.67,#161611,0.13,#5a4942,0.06,#736059,0.06,#413229,0.05,#887b72,0.01,#4e3c32,0.01,#7b6b66,0.0,#483935
1347,0.66,#161611,0.15,#5a4942,0.06,#726059,0.06,#403128,0.04,#867870,0.02,#4b3b31,0.01,#7d6c62,0.0,#796865
1348,0.56,#1d2623,0.28,#6a6d6e,0.08,#464e50,0.04,#4f5759,0.03,#c4bfae,0.01,#9e9c94,0.0,#a5a198,0.0,#a3a398
1349,0.58,#1d2624,0.25,#6c6f70,0.1,#464f51,0.04,#50585a,0.02,#c9c4b2,0.01,#a19e97,0.0,#a7a69b,0.0,#aaa49b
1350,0.59,#1d2623,0.23,#6b6f6f,0.11,#464f50,0.03,#50585a,0.02,#c4c0ae,0.01,#9c9a93,0.0,#a6a69a,0.0,#a8a39a
1351,0.6,#1d2623,0.25,#6a6e6e,0.1,#485152,0.03,#51595b,0.02,#c9c4b2,0.01,#a19f97,0.0,#a8a49b,0.0,#a5a89c
1352,0.59,#1d2623,0.26,#6e7070,0.09,#485152,0.03,#52595b,0.02,#ccc7b4,0.01,#a3a097,0.0,#a9a89d,0.0,#aca69d
1353,0.58,#1c2421,0.25,#6d7070,0.09,#474f51,0.04,#51595b,0.03,#d0cab6,0.01,#a19e96,0.0,#aaa59c,0.0,#a8a79b
1354,0.58,#1c2522,0.26,#696d6e,0.1,#464f51,0.03,#50595b,0.02,#bebaab,0.01,#9e9c95,0.0,#a8a49b,0.0,#a5a69b
1355,0.58,#1c2521,0.25,#686c6d,0.1,#454e50,0.04,#4f5859,0.02,#c2bead,0.01,#9b9992,0.0,#a2a298,0.0,#a5a097
1356,0.6,#1c2522,0.22,#6a6e6e,0.1,#474f51,0.04,#51595b,0.02,#c4c0af,0.01,#9f9c95,0.0,#a7a79c,0.0,#aaa49a
1357,0.62,#1e2723,0.2,#696d6e,0.1,#474f51,0.04,#51595a,0.03,#c3bead,0.01,#a09e96,0.0,#a5a69a,0.0,#a8a39a
1358,0.64,#1d2623,0.17,#6c6f70,0.12,#495153,0.03,#cbc6b3,0.03,#545b5d,0.01,#a29f97,0.0,#aba79d,0.0,#a9aa9d
1359,0.66,#1b2421,0.17,#6b6e6f,0.1,#474f51,0.04,#51595b,0.03,#c7c3b1,0.01,#a19f97,0.0,#a8a79d,0.0,#aaa59a
1360,0.63,#1b2320,0.16,#686c6c,0.12,#444d4f,0.05,#4f5759,0.03,#c9c4b1,0.01,#9c9a93,0.0,#a5a499,,
1361,0.67,#1b2421,0.15,#666a6b,0.11,#444d4e,0.03,#4e5758,0.02,#c8c3b0,0.01,#999891,0.0,#a1a198,0.0,#a5a098
1362,0.7,#1b2421,0.12,#696d6e,0.11,#454e4f,0.04,#50585a,0.02,#c3bead,0.01,#9b9992,0.0,#a5a49a,,
